EmailAttachments,URLCount,SenderReputation,SuspiciousKeywords,EmailSize,LinkEntropy,DomainRiskScore,AccountAge,PhishingLabel
3,7,169,1,259.69,3.046,0.239,78,1
0,4,87,7,322.43,2.347,0.494,24,0
0,4,195,1,92.37,3.795,0.583,11,0
0,2,85,0,447.77,2.667,0.123,72,0
3,4,163,4,294.7,0.0,0.889,44,1
2,3,72,2,68.06,1.489,0.62,79,0
0,0,147,3,463.96,2.561,0.597,106,0
0,8,84,2,270.19,1.002,0.987,118,0
1,9,83,7,440.87,1.916,0.628,66,1
1,3,87,1,435.6,0.616,0.929,88,0
1,2,81,6,0.0,1.258,0.286,45,0
1,5,100,6,77.63,0.762,0.24,74,0
2,0,90,6,161.18,1.857,0.517,32,0
2,4,133,4,444.0,3.451,0.509,17,1
1,6,192,0,454.55,1.823,0.226,54,0
0,1,71,7,256.13,3.411,0.7,10,1
4,9,135,5,248.02,2.798,0.03,86,1
2,8,144,2,128.81,2.283,0.691,6,0
1,5,146,0,485.78,1.329,0.457,91,0
2,0,84,6,145.91,0.0,0.689,20,1
1,7,149,7,135.92,0.69,0.477,1,1
1,7,0,7,347.33,2.911,0.977,64,1
6,0,41,1,0.0,2.674,0.335,81,1
0,0,176,3,472.45,2.044,0.983,1,0
0,0,182,2,54.91,1.341,0.065,101,0
1,3,95,5,52.59,2.007,0.684,61,0
2,3,171,1,277.19,3.555,0.454,79,0
1,7,113,4,269.63,3.429,0.822,119,1
0,0,177,0,123.51,3.795,0.79,1,0
1,9,189,7,272.53,1.577,0.8,81,1
2,2,90,0,235.25,1.855,0.095,46,0
0,0,125,6,0.0,0.566,0.822,109,0
4,8,0,2,0.0,3.8,0.214,60,1
1,9,121,1,489.32,0.0,0.026,43,0
2,8,0,1,330.98,1.915,0.218,44,0
0,6,49,6,118.33,3.677,0.479,38,1
1,7,31,0,71.04,2.343,0.742,107,1
3,0,196,5,292.15,2.482,0.219,2,0
0,4,101,0,155.7,1.117,0.113,82,0
4,1,65,2,185.52,2.245,0.646,12,0
2,0,190,6,160.31,0.0,0.984,93,1
0,2,149,5,342.58,2.456,0.601,23,0
0,6,0,0,299.09,1.393,0.691,111,0
1,0,99,1,85.09,0.609,0.561,9,0
2,0,0,6,286.94,0.0,0.782,8,1
2,1,54,1,406.04,2.504,0.976,50,1
0,3,71,2,86.54,0.649,0.544,80,0
1,2,180,1,450.38,2.634,0.417,62,0
5,2,103,6,310.24,2.332,0.86,23,0
4,9,91,2,477.78,3.242,0.97,117,1
0,0,198,4,116.66,0.601,0.129,93,0
1,2,45,6,497.1,3.233,0.578,59,1
2,6,80,5,339.92,2.323,0.792,10,1
1,4,173,2,305.37,1.797,0.533,12,0
0,3,56,3,281.88,3.879,0.409,62,1
0,2,0,1,60.64,1.06,0.655,116,0
2,3,114,4,472.84,2.395,0.27,76,0
2,0,30,5,339.8,1.623,0.349,30,1
3,0,60,0,91.23,2.346,0.992,74,0
1,2,152,3,59.43,2.433,0.636,78,0
0,1,85,0,72.85,0.813,0.873,68,0
2,0,160,6,324.23,2.814,0.808,47,1
2,0,172,3,326.31,2.721,0.652,84,0
0,0,191,7,274.85,3.193,0.841,41,1
2,8,161,4,188.04,0.817,0.287,103,1
2,4,88,5,289.28,1.54,0.637,7,0
2,8,78,4,282.34,2.775,0.591,94,1
2,7,199,4,58.74,0.979,0.622,116,1
2,5,85,3,177.11,2.872,0.169,105,0
0,0,87,0,73.93,0.707,0.277,88,0
2,9,31,5,455.07,1.672,0.287,74,1
1,4,87,0,376.35,3.463,0.602,52,0
1,0,190,2,498.25,3.21,0.973,45,0
3,6,92,2,185.98,2.757,0.954,38,1
1,9,25,1,445.32,3.547,0.227,36,1
2,7,34,6,321.37,2.982,0.305,81,1
3,7,61,0,253.91,2.318,0.036,85,1
1,6,50,3,150.16,3.929,0.399,58,1
3,1,25,6,0.0,2.932,0.835,46,1
3,4,52,7,456.86,2.605,0.916,67,1
2,3,176,1,155.89,1.931,0.236,65,0
0,0,40,1,128.93,3.658,0.266,18,1
2,9,143,6,363.3,1.535,0.221,2,1
0,8,113,7,489.64,0.532,0.35,104,1
1,3,168,0,0.0,1.189,0.805,112,0
0,7,119,3,178.06,0.883,0.647,4,0
3,7,74,2,238.98,1.616,0.786,96,1
1,1,83,7,222.94,3.391,0.583,83,1
2,5,105,7,433.44,2.78,0.258,84,1
3,4,193,5,397.12,1.091,0.228,42,0
1,1,41,2,315.04,3.261,0.009,49,1
2,9,79,7,173.73,2.265,0.781,49,1
4,3,123,2,0.0,2.295,0.847,117,0
1,6,158,4,343.99,1.767,0.768,7,1
1,0,66,2,486.71,3.526,0.074,9,1
0,8,178,0,311.05,1.614,0.762,71,0
